Fiscal Quarter,Region,State,Bank Group,Population Group,No of Offices,Deposit,Credit,Actual District (Not Decoded),District Code,Census Flag
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,FOREIGN BANKS,Urban,1,236.689,60.172,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,2,93.143,54.086,KAWARDHA,765,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,2,185.595,16.735,DANTEWADA,763,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,2,244.9,283.471,KANKER,761,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,3,154.972,88.395,JASHPUR,707,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,4,299.738,87.663,DHAMTARI,704,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,5,474.808,209.86,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,5,1062.492,252.621,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,6,953.544,132.615,KORIYA,757,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,7,434.863,120.856,BASTAR,762,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,8,740.249,453.889,MAHASAMUND,759,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,11,1864.101,720.999,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,14,1362.432,482.654,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,14,1766.022,951.548,JANJGIR-CHAMPA,753,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,17,2211.272,797.211,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,17,2903.663,978.778,SURGUJA,756,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Rural,33,5586.207,1362.464,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,1,87.287,45.506,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,1,309.424,103.926,DANTEWADA,763,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,2,563.055,62.225,KAWARDHA,765,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,3,278.503,53.261,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,3,455.158,217.097,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,3,551.287,62.817,KANKER,761,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,3,793.861,209.52,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,4,707.654,248.114,JASHPUR,707,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,7,1571.481,587.046,JANJGIR-CHAMPA,753,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,7,1663.501,926.358,MAHASAMUND,759,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,7,2881.679,422.403,SURGUJA,756,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,9,2043.709,466.039,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,9,3711.871,934.706,BASTAR,762,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,10,2872.991,451.379,KORIYA,757,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,11,1985.292,648.635,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Semi-urban,11,3083.767,1435.953,DHAMTARI,704,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Urban,11,3290.687,2610.684,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Urban,13,4121.006,2331.535,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Urban,15,3694.577,2253.44,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Urban,28,51883.037,5897.113,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Urban,52,25182.778,11267.676,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,NATIONALISED BANKS,Urban,62,52109.789,36962.88,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Semi-urban,1,2.875,0,JANJGIR-CHAMPA,753,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Semi-urban,1,6.915,0.015,KAWARDHA,765,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Semi-urban,1,31.067,0.098,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Semi-urban,2,67.632,237.819,BASTAR,762,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Semi-urban,2,100.632,50.424,MAHASAMUND,759,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Semi-urban,3,245.879,79.274,DHAMTARI,704,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Semi-urban,4,549.293,153.303,SURGUJA,756,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Urban,3,428.8,44.954,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Urban,3,1320.422,149.186,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Urban,5,637.268,217.751,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Urban,5,15902.089,596.017,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Urban,7,2364.119,217.616,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,PRIVATE SECTOR BANKS,Urban,15,10015.96,14312.013,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,4,189.495,39.041,NARAYANPUR,293,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,4,190.059,30.284,BIJAPUR,294,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,8,572.467,203.92,KANKER,761,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,9,468.718,215.934,KAWARDHA,765,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,10,452.721,186.885,DHAMTARI,704,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,10,542.562,115.778,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,13,975.532,210.74,DANTEWADA,763,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,14,729.199,290.037,KORIYA,757,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,15,482.023,406.974,MAHASAMUND,759,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,19,936.395,367.099,JANJGIR-CHAMPA,753,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,19,975.392,287.887,JASHPUR,707,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,21,976.199,321.711,BASTAR,762,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,21,1038.453,394.155,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,25,1468.984,376.816,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,29,1195.969,400.231,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,32,1873.83,860.566,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,48,3419.899,838.062,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Rural,63,4045.173,1451.947,SURGUJA,756,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,1,174.744,36.498,MAHASAMUND,759,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,1,288.732,53.109,KANKER,761,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,2,212.229,83.178,DHAMTARI,704,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,2,287.004,33.135,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,2,474.435,68.376,KAWARDHA,765,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,3,380.33,154.943,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,3,505.775,91.006,KORIYA,757,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,3,1573.799,195.747,SURGUJA,756,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,4,408.46,194.522,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,4,433.675,100.929,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,4,738.605,71.804,JASHPUR,707,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,5,528.168,136.812,JANJGIR-CHAMPA,753,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,5,891.084,257.012,BASTAR,762,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,6,866.87,129.018,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Semi-urban,8,1317.728,284.678,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Urban,1,72.293,14.815,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Urban,2,233.695,43.013,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Urban,2,585.239,161.533,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Urban,3,399.254,341.262,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Urban,3,689.096,131.639,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,REGIONAL RURAL BANKS,Urban,3,743.34,129.645,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,1,115.411,64.481,DHAMTARI,704,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,1,135.837,62.703,KORIYA,757,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,3,297.369,133.779,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,4,337.866,312.832,MAHASAMUND,759,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,4,446.709,212.803,KAWARDHA,765,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,5,1103.465,219.332,BIJAPUR,294,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,5,1105.734,364.692,JANJGIR-CHAMPA,753,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,6,2827.424,490.345,DANTEWADA,763,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,7,1479.59,430.031,JASHPUR,707,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,9,1527.478,554.634,KANKER,761,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,9,1654.984,663.778,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,10,1052.595,548.393,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,10,1653.037,718.94,BASTAR,762,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,10,2134.616,1152.976,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,10,2462.758,809.532,SURGUJA,756,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,13,2313.007,1178.966,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Rural,16,2748.988,800.913,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,1,425.558,85.804,NARAYANPUR,293,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,2,1282.821,4475.373,DANTEWADA,763,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,2,1622.107,437.032,KANKER,761,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,2,2097.838,736.415,KAWARDHA,765,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,4,1546.738,770.007,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,4,1741.904,1060.24,MAHASAMUND,759,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,4,1829.004,780.105,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,4,2031.733,426.506,JASHPUR,707,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,5,1981.923,859.448,DHAMTARI,704,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,5,3740.296,1571.478,BASTAR,762,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,5,4809.177,1861.16,SURGUJA,756,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,6,2060.551,822.667,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,7,2212.352,1062.722,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,7,3178.631,1438.681,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,7,3530.745,1146.016,KORIYA,757,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,7,4169.772,1468.595,JANJGIR-CHAMPA,753,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Semi-urban,10,2770.122,2231.975,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Urban,4,3052.564,1687.165,RAJNANDGAON,766,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Urban,4,3964.845,4995.095,RAIGARH,758,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Urban,12,6081.882,3154.896,KORBA,755,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Urban,12,14731.541,4550.791,BILASPUR,754,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Urban,18,18696.774,10636.514,DURG,750,2001
2008-09:Q4,CENTRAL REGION,CHHATTISGARH,SBI AND ITS ASSOCIATES,Urban,28,34990.375,54182.835,RAIPUR,760,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,FOREIGN BANKS,Metropolitan,2,615.601,213.089,BHOPAL,764,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,FOREIGN BANKS,Metropolitan,3,1580.127,1993.516,INDORE,720,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Metropolitan,132,75317.257,60599.101,INDORE,720,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Metropolitan,140,84663.562,46317.612,BHOPAL,764,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,1,65.63,50.418,CHHATARPUR,744,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,1,73.559,22.731,TIKAMGARH,743,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,2,70.381,63.468,PANNA,745,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,3,148.286,176.202,HARDA,706,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,3,287.208,168.408,JHABUA,726,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,4,161.215,134.683,SHEOPUR,701,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,4,239.539,260.421,HOSHANGABAD,716,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,4,283.593,370.61,GUNA,736,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,5,581.882,243.211,ALIRAJPUR,296,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,5,1254.754,221.172,UMARIA,703,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,6,524.586,444.795,NEEMUCH,729,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,7,294.721,345.482,DAMOH,708,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,7,338.888,402.29,SHIVPURI,737,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,7,704.988,635.617,ASHOKNAGAR,731,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,8,477.523,511.835,MANDSAUR,728,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,8,622.389,849.597,RAISEN,702,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,8,664.001,173.867,DINDORI,711,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,8,755.284,514.124,BARWANI,723,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,10,406.147,357.56,MORENA,738,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,10,1065.432,1223.968,BURHANPUR,725,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,11,667.757,1016.665,DATIA,742,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,11,674.835,220.517,SHAHDOL,749,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,11,2028.615,377.041,ANUPPUR,721,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,12,490.871,1153.901,VIDISHA,735,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,12,764.635,548.226,BHIND,739,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,13,704.855,1198.369,RAJGARH,734,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,13,3701.115,691.912,SINGRAULI,295,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,14,947.918,904.178,RATLAM,727,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,14,1471.709,1030.975,GWALIOR,740,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,15,980.448,304.707,MANDLA,712,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,15,1640.469,452.705,SIDHI,748,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,16,1581.178,2080.053,DEWAS,719,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,16,1771.902,1411.161,BHOPAL,764,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,17,2228.853,1053.966,SATNA,746,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,18,1416.011,1470.952,NARSIMHAPUR,714,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,18,2051.609,1314.102,KATNI,709,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,19,1674.902,1979.934,SHAJAPUR,732,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,20,1644.492,1589.901,EAST NIMAR,718,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,21,1294.321,775.635,SEONI,713,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,21,1498.877,1403.048,SAGAR,705,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,22,1688.731,1865.085,WEST NIMAR,722,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,23,1689.989,3170.323,UJJAIN,730,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,23,3600.274,1164.358,REWA,747,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,24,1606.359,2517.823,SEHORE,700,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,25,2118.801,1049.05,CHHINDWARA,715,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,26,6388.936,3825.534,INDORE,720,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,27,3763.077,2600.435,DHAR,724,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,31,1793.483,899.406,BALAGHAT,752,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,31,2283.221,1429.668,JABALPUR,710,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Rural,34,2857.265,1295.624,BETUL,717,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,1,24.914,5.102,DAMOH,708,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,1,28.153,13.588,SHIVPURI,737,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,1,130.458,191.435,GUNA,736,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,1,177.859,96.711,BURHANPUR,725,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,1,229.399,205.123,BHOPAL,764,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,1,302.083,39.336,DINDORI,711,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,1,431.246,124.452,ALIRAJPUR,296,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,1,839.887,96.608,SINGRAULI,295,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,2,312.887,144.983,EAST NIMAR,718,2001
2008-09:Q4,CENTRAL REGION,MADHYA PRADESH,NATIONALISED BANKS,Semi-urban,2,450.331,107.256,KATNI,709,2001
